dv - | INFO flwr 2024-09-11 13:47:19,414 | server.py:113 | [ROUND 15]
dv - | CRITICAL flwr 2024-09-11 13:47:19,414 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:19,414 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:47:19,414 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['3834905379212364310', '503795445624714053', '-8936847233666666962', '6527471679806967035', '-2882069058387825482']
dv - | DEBUG flwr 2024-09-11 13:47:19,414 | dvsaa_afl.py:176 | sample size 5
dv - | INFO flwr 2024-09-11 13:47:19,414 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:29,494 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:47:29,494 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:47:29,494 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['3834905379212364310', '3290520909799058613', '-3914441494733611112', '-2882069058387825482', '-8936847233666666962']
dv - | INFO flwr 2024-09-11 13:47:29,494 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:31,510 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:31,510 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:47:31,510 | server.py:113 | [ROUND 16]
dv - | CRITICAL flwr 2024-09-11 13:47:31,510 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:31,510 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:47:31,510 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['1227754372335181873', '6527471679806967035']
dv - | DEBUG flwr 2024-09-11 13:47:31,510 | dvsaa_afl.py:176 | sample size 2
dv - | INFO flwr 2024-09-11 13:47:31,510 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:36,562 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:47:36,562 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:47:36,562 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-3914441494733611112', '1227754372335181873']
dv - | INFO flwr 2024-09-11 13:47:36,562 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:37,570 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:37,570 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:47:37,570 | server.py:113 | [ROUND 17]
dv - | CRITICAL flwr 2024-09-11 13:47:37,570 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:37,570 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:47:37,570 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['-8936847233666666962', '-2882069058387825482']
dv - | DEBUG flwr 2024-09-11 13:47:37,570 | dvsaa_afl.py:176 | sample size 2
dv - | INFO flwr 2024-09-11 13:47:37,570 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:42,630 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:47:42,630 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:47:42,630 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-2882069058387825482', '3290520909799058613']
dv - | INFO flwr 2024-09-11 13:47:42,630 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:43,651 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:43,651 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:47:43,651 | server.py:113 | [ROUND 18]
dv - | CRITICAL flwr 2024-09-11 13:47:43,651 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:43,651 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
